count,detect_count,episode,reward,aveloss,learn_count
0.0,0.0,0,0.0,None,0
192,181,1,733.8799343734096,7.719012108005461,61
191,149,2,1176.0581141599082,17.91417369806677,133
147,140,3,813.5649363710761,39.88590322732925,120
147,144,4,735.36469491497,40.25930945599666,122
161,157,5,878.09076858532,74.77608888640123,136
151,146,6,792.7031197070711,20.97975315201667,124
152,133,7,1157.283489198253,74.17156635781993,115
161,147,8,1556.6112990587835,104.82842701584545,134
150,134,9,1611.619988088782,113.38769497830644,117
148,140,10,694.7270843060347,96.93616196757458,122
173,143,11,1392.632409129772,124.45407149370979,119
184,174,12,1466.0142876303846,169.14993123679326,145
156,136,13,1709.0010893199408,144.58645188013713,120
147,123,14,1485.8216300249778,140.85404429612336,108
155,143,15,2086.9092832101824,198.71085103352866,126
154,145,16,1367.700242980975,140.881940305233,128
165,125,17,1898.8981865159744,138.28015233012079,103
150,129,18,2934.8507918639866,191.53189583874624,109
153,128,19,2309.96759462574,296.3750542456951,109
155,144,20,1322.1315110004969,145.22574336469665,121
189,161,21,2687.0133520315317,157.93475705794705,131
146,143,22,1078.7503949063894,152.13988111077285,123
166,159,23,1871.520151561719,71.16038935203252,127
154,123,24,2243.0978912007163,241.93507333902213,104
160,139,25,3384.108284809139,322.19312167358396,125
156,140,26,1376.983089467224,235.27430280049643,120
144,126,27,2607.2031845436795,315.0626875618908,107
138,110,28,906.289957313514,262.95283561706543,100
153,140,29,2056.020655322336,221.180413905198,123
168,131,30,2517.2880615916033,176.80539850088266,117
159,130,31,1974.66988797488,194.5741438909408,109
161,129,32,1988.4584471371372,255.6638222434304,110
174,135,33,2781.392203559346,251.18802216473748,119
145,130,34,2438.1243719786344,176.0828418176151,103
166,142,35,2459.680114939554,259.44403935280167,119
139,117,36,1435.374674328864,365.4321007589692,103
184,151,37,1617.627395255773,268.0837077613638,119
142,132,38,2492.9944261487426,304.7536985533578,112
162,139,39,1651.4132019046856,129.22215466750296,114
146,112,40,2008.4401209647194,195.3700219368448,98
157,128,41,2244.1999550600917,441.2568306170012,114
157,137,42,1309.8422129048506,522.4418045679728,120
154,150,43,1037.0135878359551,213.8806109568652,136
174,156,44,1363.3141945320012,269.9837515222745,127
141,129,45,2051.1278273516878,107.86060664809753,107
143,139,46,1085.5823295445948,211.7307804044613,121
152,148,47,1587.665420261432,107.18709954481858,130
154,117,48,2391.1440006409566,370.2551776661592,102
142,129,49,2095.4814588352338,239.15948059212448,117
169,159,50,3481.350081302701,100.22451197672234,139
173,132,51,3715.064138772268,233.94027958441217,109
145,126,52,1718.2020307234502,562.8069741767749,114
170,134,53,1373.9371750362657,297.5009661617442,117
153,129,54,1664.572018495039,282.1684999630369,116
140,110,55,2058.0746710229705,269.06685555499536,92
148,128,56,1113.586186725365,627.1134597084739,110
172,160,57,1646.0726586827245,104.75747604787784,137
154,140,58,1445.8553898987896,191.02071987214634,122
173,150,59,1963.1839664701115,203.99416869027274,126
152,128,60,1185.0311788874978,250.2650869837347,106
126,104,61,1727.611799018412,267.45737261888456,82
137,105,62,1337.910452583561,198.33008318449322,95
150,129,63,1547.3251004335646,730.26978427924,103
155,127,64,2391.8644103551246,322.0391928932884,110
148,103,65,2209.7324830079183,475.7256398261348,79
164,136,66,2666.1755924882423,701.8828186824404,116
143,132,67,2151.9465334564434,390.60191594508655,114
136,127,68,1829.9186610013608,160.69271479712592,108
170,126,69,4085.2973876957235,313.1338423989036,110
146,141,70,671.7530818996219,227.62622119122602,127
146,134,71,2141.55729987151,219.41422921566925,121
147,138,72,1775.25545429615,284.1024680250273,127
158,118,73,2778.346583136756,300.4473925503817,99
112,91,74,1802.3293223098756,768.2570010265672,83
132,118,75,1815.86462947762,643.6316718691871,105
151,127,76,2693.9520555709178,268.6257147503714,117
141,126,77,2234.1709039151656,164.84840776209245,114
153,129,78,1484.9127968695702,356.6187515615303,107
167,137,79,2716.780277101394,678.3814914869225,115
151,129,80,1991.136585402095,611.9952557427542,112
182,151,81,2523.1881630130524,388.57152059674263,128
173,164,82,2657.777785349197,173.40378530996819,135
139,129,83,1631.6402364635314,140.24462393124898,120
145,142,84,1691.964886463487,177.13256427670314,121
160,140,85,1976.684064806322,88.59596805274487,128
150,141,86,932.0985721619844,79.87334202810098,131
150,147,87,1398.5421747453815,49.42773604037157,134
175,144,88,2597.6244874318845,172.58905710601806,125
170,133,89,1916.4215582329616,210.22159282231735,118
150,141,90,2420.0282382989376,216.71585100889206,128
147,130,91,1704.7977611430308,101.91215768882206,112
161,148,92,1661.2342196852615,139.96920168297922,117
143,129,93,1188.7751067992872,105.20926230057427,115
144,130,94,1874.8692840644787,221.19516932522808,108
150,118,95,2073.5674771775302,406.79755977555817,102
126,117,97,2554.73069264832,587.6871248025161,104
136,122,98,1953.1610099584225,282.4113040379116,105
132,114,99,1463.3989588707793,823.3727556730571,95
161,114,100,3088.7118132931555,482.3076682281494,100
152,139,101,3182.883436986723,572.8114118498515,123
141,111,102,2850.9907419142955,340.9447665371738,91
134,114,103,2071.1714793757947,608.3156739762686,103
139,99,104,2634.396263548055,542.6912401572041,87
165,133,105,1109.8985895810733,741.5551750308177,122
136,116,106,1873.3996197065644,272.5720426689074,103
174,146,107,2562.562117572151,198.82648638052532,129
156,110,108,1709.4530544741642,501.76303220598885,89
123,101,109,2672.8297252569623,511.86798920028514,87
153,130,110,2434.431876467073,461.25013117204634,114
171,139,111,1849.8715892375994,241.00030869097748,121
155,139,112,2193.3994741117403,181.7888461271922,120
167,142,113,3114.4987384011724,202.88906985521317,128
162,139,114,2753.132787794132,184.07388551773565,124
183,134,115,1808.7605517252823,355.40067184180543,114
143,121,116,2575.027812382815,466.29921783447264,100
163,131,117,2776.3600045788944,303.8882589647847,124
153,131,118,2492.563003234865,278.0312101818266,105
140,111,119,2470.9991822849142,540.3530526701937,97
160,152,120,3106.45546361568,206.31726617303514,131
149,98,121,1983.2523570014705,503.5526764424642,75
163,132,122,3242.8406607183965,318.32023824725235,114
136,97,123,2501.167761484101,378.49242939668545,85
140,135,125,1115.1244604726608,372.3662518413127,119
152,134,126,2859.216767344885,236.7281367820606,114
155,136,127,2068.9231351117855,174.92312394470727,119
